"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "SCSS", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\hotels\hotels.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\hotels\hotels.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\hotels\hotels.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\hotels\hotels.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\landing\landing.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\landing\landing.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\landing\landing.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\landing\landing.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\profile\profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\rooms\rooms.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\rooms\rooms.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\rooms\rooms.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\rooms\rooms.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\interface\response\auth-response-dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\interface\response\registration-response-dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\interface\user\login-dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\interface\user\registration-dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\modules\authentication\authentication.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\admin\admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\admin\admin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
